bins	meanCoverage	standardError	feature	Sample
50	0.361745595820216	0.0126684522292442	threeUTRs	group1
51	0.362951302833412	0.0128007537271568	threeUTRs	group1
52	0.358999263179048	0.0125325622224821	threeUTRs	group1
53	0.355315158416505	0.0124062850147369	threeUTRs	group1
54	0.35380802465001	0.0124151838795597	threeUTRs	group1
55	0.356587849152656	0.0125120270929375	threeUTRs	group1
56	0.355851028200147	0.012313560146394	threeUTRs	group1
57	0.353506597896711	0.0124615999781264	threeUTRs	group1
58	0.348047424475852	0.0123079567160436	threeUTRs	group1
59	0.346037912787193	0.0124551621062271	threeUTRs	group1
60	0.341817938241007	0.0136804720391087	threeUTRs	group1
61	0.345368075557639	0.0125520450036132	threeUTRs	group1
62	0.337330028803001	0.0119436256570588	threeUTRs	group1
63	0.343425547591935	0.0133356427088391	threeUTRs	group1
64	0.339674459106437	0.0129556820738004	threeUTRs	group1
65	0.336291781097193	0.0120246796023026	threeUTRs	group1
66	0.338468752093241	0.0122127276397362	threeUTRs	group1
67	0.340076361444169	0.0122663162921222	threeUTRs	group1
68	0.334416236854444	0.0120524264785536	threeUTRs	group1
69	0.332875611226472	0.0120440794785166	threeUTRs	group1
70	0.332942594949427	0.0122172175061155	threeUTRs	group1
71	0.333411481010115	0.0123869399519166	threeUTRs	group1
72	0.324335186549668	0.012297290897185	threeUTRs	group1
73	0.329626900663139	0.0126257908725097	threeUTRs	group1
74	0.326579141268672	0.0124157329738919	threeUTRs	group1
75	0.329928327416438	0.0125500926965066	threeUTRs	group1
76	0.320550606202693	0.0121904600718111	threeUTRs	group1
77	0.324201219103758	0.0124984517599705	threeUTRs	group1
78	0.325406926116954	0.0127625179845364	threeUTRs	group1
79	0.325272958671043	0.0128818730992301	threeUTRs	group1
80	0.319177439882109	0.0126507507007384	threeUTRs	group1
81	0.314220644383415	0.0123998872672683	threeUTRs	group1
82	0.313751758322728	0.0126074292526004	threeUTRs	group1
83	0.314555562998191	0.0126563115342705	threeUTRs	group1
84	0.314522071136714	0.0127149217825049	threeUTRs	group1
85	0.307019894165718	0.0125336211139309	threeUTRs	group1
86	0.307455288364927	0.0127094612783621	threeUTRs	group1
87	0.308861946546989	0.0128686619106269	threeUTRs	group1
88	0.306785451135374	0.0127471052967222	threeUTRs	group1
89	0.296469957800255	0.0121260908732616	threeUTRs	group1
90	0.292584901868846	0.0121593628511037	threeUTRs	group1
91	0.292450934422935	0.0120372678435059	threeUTRs	group1
92	0.283106705070668	0.0116632473424697	threeUTRs	group1
93	0.282704802732936	0.011699679703265	threeUTRs	group1
94	0.274432312947954	0.0113635253985878	threeUTRs	group1
95	0.267700448790944	0.0113561178667685	threeUTRs	group1
96	0.256849085672182	0.0109374798317383	threeUTRs	group1
97	0.24656708419854	0.0106341881442826	threeUTRs	group1
98	0.234978900127269	0.0103958983459549	threeUTRs	group1
99	0.228180052247304	0.0105719619921982	threeUTRs	group1
100	0.191372496483355	0.00940013015205606	threeUTRs	group1
1	0.192967754910505	0.00880354634162822	downstream	group1
2	0.186532144533083	0.00900036783792051	downstream	group1
3	0.186599182141181	0.00934837038919622	downstream	group1
4	0.185090835958973	0.00933704954127474	downstream	group1
5	0.188744385600322	0.0102000361169228	downstream	group1
6	0.185727693235905	0.0101591819100623	downstream	group1
7	0.18123617349333	0.00941942226728649	downstream	group1
