bases	meanCoverage	standardError	Sample	feature
16	0.0706359945872801	0.00133292161868932	group1	Translation end site
17	0.0710690121786198	0.0013366894498696	group1	Translation end site
18	0.0711772665764547	0.00133762915657219	group1	Translation end site
19	0.0715561569688769	0.00134091108133413	group1	Translation end site
20	0.0722327469553451	0.00134674459339089	group1	Translation end site
21	0.0724763193504736	0.00134883623314501	group1	Translation end site
22	0.0730446549391069	0.0013536995449837	group1	Translation end site
23	0.0733423545331529	0.00135623746174172	group1	Translation end site
24	0.0734506089309878	0.00135715872569286	group1	Translation end site
25	0.0733964817320704	0.00135669820113752	group1	Translation end site
26	0.0735588633288227	0.00135807913115632	group1	Translation end site
27	0.073531799729364	0.00135784911017817	group1	Translation end site
28	0.0736129905277402	0.0013585390125005	group1	Translation end site
29	0.0737753721244926	0.00135991737359096	group1	Translation end site
30	0.0741542625169147	0.00136312609336789	group1	Translation end site
31	0.0746684709066306	0.00136746419720867	group1	Translation end site
32	0.0749120433017591	0.00136951246853594	group1	Translation end site
33	0.0752909336941813	0.00137269026845263	group1	Translation end site
34	0.0756968876860623	0.00137608377745627	group1	Translation end site
35	0.0756427604871448	0.0013756319805985	group1	Translation end site
36	0.0759675236806495	0.0013783396774701	group1	Translation end site
37	0.0762381596752368	0.0013805904554962	group1	Translation end site
38	0.0764276048714479	0.00138216296593366	group1	Translation end site
39	0.0765358592692828	0.0013830604252725	group1	Translation end site
40	0.0765899864682003	0.00138350885066113	group1	Translation end site
41	0.0770230040595399	0.00138708897698311	group1	Translation end site
42	0.0774289580514208	0.00139043365877899	group1	Translation end site
43	0.0775913396481732	0.00139176838357969	group1	Translation end site
44	0.078105548037889	0.00139598322059101	group1	Translation end site
45	0.078213802435724	0.00139686828138579	group1	Translation end site
46	0.0783491204330176	0.00139797350036443	group1	Translation end site
47	0.0785926928281461	0.00139995980369145	group1	Translation end site
48	0.0787280108254398	0.00140106159354877	group1	Translation end site
49	0.079106901217862	0.00140414012816197	group1	Translation end site
50	0.0794857916102842	0.00140720916693757	group1	Translation end site
51	0.0801623815967524	0.00141266616898153	group1	Translation end site
52	0.0800811907983762	0.00141201290555131	group1	Translation end site
53	0.0802706359945873	0.0014135365209281	group1	Translation end site
54	0.0800541271989175	0.00141179505582	group1	Translation end site
55	0.0801623815967524	0.00141266616898153	group1	Translation end site
56	0.0802435723951286	0.00141331900422843	group1	Translation end site
57	0.0804330175913397	0.00141484062464256	group1	Translation end site
58	0.0806495263870095	0.00141657677841916	group1	Translation end site
59	0.0806495263870095	0.00141657677841916	group1	Translation end site
60	0.0805412719891746	0.00141570907968939	group1	Translation end site
61	0.0807307171853857	0.00141722705696914	group1	Translation end site
62	0.0805683355886333	0.00141592607522222	group1	Translation end site
63	0.0807577807848444	0.00141744372222083	group1	Translation end site
64	0.0807036535859269	0.00141701034459938	group1	Translation end site
65	0.0806495263870095	0.00141657677841916	group1	Translation end site
